Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Альфа-Банк (АО),2007,1,8.2,-9.359373784510982,3.3,13.9,0.36,0.35,75.5,9,0.2,24.8,135.7,18.65,30.9,Частный,Пик,0
Альфа-Банк (АО),2007,2,7.61,14.561383898598601,3.3,13.9,0.36,0.35,75.5,9,0.2,24.8,135.7,18.65,30.9,Частный,Пик,0
Альфа-Банк (АО),2007,3,7.37,14.614921411716676,3.5,13.9,0.36,0.35,75.5,9,0.2,24.8,135.7,18.65,30.9,Частный,Пик,0
Альфа-Банк (АО),2007,4,7.6,10.045296058572362,5.7,13.9,0.36,0.35,75.5,9,0.2,24.8,135.7,18.65,30.9,Частный,Пик,0
Раiffeisenbank (АО),2007,1,8.2,-9.359373784510982,3.3,12.98,0.25,1.8,50.55,19.5,0.5,25.35,150.4,28.95,15.6,Частный,Пик,0
Раiffeisenbank (АО),2007,2,7.61,14.561383898598601,3.3,12.98,0.25,1.8,50.55,19.5,0.5,25.35,150.4,28.95,15.6,Частный,Пик,0
Раiffeisenbank (АО),2007,3,7.37,14.614921411716676,3.5,12.98,0.25,1.8,50.55,19.5,0.5,25.35,150.4,28.95,15.6,Частный,Пик,0
Раiffeisenbank (АО),2007,4,7.6,10.045296058572362,5.7,12.98,0.25,1.8,50.55,19.5,0.5,25.35,150.4,28.95,15.6,Частный,Пик,0
КБ “Интелфинанс”,2007,1,8.2,-9.359373784510982,3.3,88.5,2,2.1,110,5.14,0.0005,-11.7,63,0.0001,-52,Частный,Пик,1
КБ “Интелфинанс”,2007,2,7.61,14.561383898598601,3.3,88.5,2,2.1,110,5.14,0.0005,-11.7,63,0.0001,-52,Частный,Пик,1
КБ “Интелфинанс”,2007,3,7.37,14.614921411716676,3.5,88.5,2,2.1,110,5.14,0.0005,-11.7,63,0.0001,-52,Частный,Пик,1
КБ “Интелфинанс”,2007,4,7.6,10.045296058572362,5.7,88.5,2,2.1,110,5.14,0.0005,-11.7,63,0.0001,-52,Частный,Пик,1
