Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк 18,2009,2,13.85,10.920649567662476,8.6,8.7,17.4,-4.7,53.7,20.3,1.1,-85.1,126.5,35.8,-108.6,Частный,Дно,1
Банк 18,2009,3,13.98,12.617920329998533,6.5,8.7,17.4,-4.7,53.7,20.3,1.1,-85.1,126.5,35.8,-108.6,Частный,Дно,1
Банк 18,2009,4,13.16,3.890846860429842,5.8,8.7,17.4,-4.7,53.7,20.3,1.1,-85.1,126.5,35.8,-108.6,Частный,Дно,1
Банк 19,2009,1,13.35,-21.511101090472806,16.3,10.2,18.3,-2.7,42.4,20.9,1.8,-94.3,101.9,28.3,-136,Частный,Дно,1
Банк 19,2009,2,13.85,10.920649567662476,8.6,10.2,18.3,-2.7,42.4,20.9,1.8,-94.3,101.9,28.3,-136,Частный,Дно,1
Банк 19,2009,3,13.98,12.617920329998533,6.5,10.2,18.3,-2.7,42.4,20.9,1.8,-94.3,101.9,28.3,-136,Частный,Дно,1
Банк 19,2009,4,13.16,3.890846860429842,5.8,10.2,18.3,-2.7,42.4,20.9,1.8,-94.3,101.9,28.3,-136,Частный,Дно,1
Банк 20,2009,1,13.35,-21.511101090472806,16.3,10.6,10.6,-2,62.2,20,0.6,-36.9,108.1,27.4,-48.4,Частный,Дно,1
Банк 20,2009,2,13.85,10.920649567662476,8.6,10.6,10.6,-2,62.2,20,0.6,-36.9,108.1,27.4,-48.4,Частный,Дно,1
Банк 20,2009,3,13.98,12.617920329998533,6.5,10.6,10.6,-2,62.2,20,0.6,-36.9,108.1,27.4,-48.4,Частный,Дно,1
Банк 20,2009,4,13.16,3.890846860429842,5.8,10.6,10.6,-2,62.2,20,0.6,-36.9,108.1,27.4,-48.4,Частный,Дно,1
Банк 21,2009,1,13.35,-21.511101090472806,16.3,10.2,17.8,-1.5,56.3,20.3,0.1,-59.8,131.3,44.9,-45.7,Частный,Дно,1
Банк 21,2009,2,13.85,10.920649567662476,8.6,10.2,17.8,-1.5,56.3,20.3,0.1,-59.8,131.3,44.9,-45.7,Частный,Дно,1
Банк 21,2009,3,13.98,12.617920329998533,6.5,10.2,17.8,-1.5,56.3,20.3,0.1,-59.8,131.3,44.9,-45.7,Частный,Дно,1
Банк 21,2009,4,13.16,3.890846860429842,5.8,10.2,17.8,-1.5,56.3,20.3,0.1,-59.8,131.3,44.9,-45.7,Частный,Дно,1
Банк 22,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 22,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 22,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 22,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 24,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 24,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 24,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 24,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 26,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 26,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 26,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 26,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 28,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 28,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 28,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 28,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 30,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 30,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 30,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 30,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
