Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
ЗАО “МИРА-банк”,2005,1,12.7,-9.85249767610451,1.1,45.34,1.2,1.5,300,9.2,20.34,-5.44,200,18,120,Частный,Подъем,0
ЗАО “МИРА-банк”,2005,2,12.96,13.889074752811648,1.3,45.34,1.2,1.5,300,9.2,20.34,-5.44,200,18,120,Частный,Подъем,0
ЗАО “МИРА-банк”,2005,3,13.63,15.112037669839108,3.4,45.34,1.2,1.5,300,9.2,20.34,-5.44,200,18,120,Частный,Подъем,0
ЗАО “МИРА-банк”,2005,4,13.77,6.5491293179213095,2.9,45.34,1.2,1.5,300,9.2,20.34,-5.44,200,18,120,Частный,Подъем,0
ЗАО “МИРА-банк”,2006,1,10.71,-6.986160785351647,3.1,51.24,2,1.8,320,9.5,21,-3,224,19,110,Частный,Подъем,0
ЗАО “МИРА-банк”,2006,2,11.18,9.927963694161468,3.3,51.24,2,1.8,320,9.5,21,-3,224,19,110,Частный,Подъем,0
ЗАО “МИРА-банк”,2006,3,10.61,14.255131709102486,2.0,51.24,2,1.8,320,9.5,21,-3,224,19,110,Частный,Подъем,0
ЗАО “МИРА-банк”,2006,4,9.77,2.810507874520507,4.1,51.24,2,1.8,320,9.5,21,-3,224,19,110,Частный,Подъем,0
АКБ “Премьер”,2003,1,14.29,-5.8068465623421055,7.3,18.54,1.23,1.53,82.44,5,0.091,29.15,120,8,20,Частный,Подъем,0
АКБ “Премьер”,2003,2,14.82,8.789155940807603,2.0,18.54,1.23,1.53,82.44,5,0.091,29.15,120,8,20,Частный,Подъем,0
АКБ “Премьер”,2003,3,14.78,16.07274248117121,4.0,18.54,1.23,1.53,82.44,5,0.091,29.15,120,8,20,Частный,Подъем,0
АКБ “Премьер”,2003,4,14.62,1.5274907758913159,5.2,18.54,1.23,1.53,82.44,5,0.091,29.15,120,8,20,Частный,Подъем,0
АКБ “Премьер”,2004,1,11.28,-3.818034610298593,1.1,20.57,2,1.34,67.91,5.82,0.15,18.08,110,10,16.73,Частный,Подъем,0
АКБ “Премьер”,2004,2,10.58,12.969168812212374,5.2,20.57,2,1.34,67.91,5.82,0.15,18.08,110,10,16.73,Частный,Подъем,0
АКБ “Премьер”,2004,3,10.25,15.671595592416775,3.8,20.57,2,1.34,67.91,5.82,0.15,18.08,110,10,16.73,Частный,Подъем,0
АКБ “Премьер”,2004,4,10.22,7.659556893485675,1.1,20.57,2,1.34,67.91,5.82,0.15,18.08,110,10,16.73,Частный,Подъем,0
АКБ “Премьер”,2005,1,12.7,-9.85249767610451,1.1,18.89,3,1,47.89,5.5,0.2,5,105,12,9.77,Частный,Подъем,0
АКБ “Премьер”,2005,2,12.96,13.889074752811648,1.3,18.89,3,1,47.89,5.5,0.2,5,105,12,9.77,Частный,Подъем,0
АКБ “Премьер”,2005,3,13.63,15.112037669839108,3.4,18.89,3,1,47.89,5.5,0.2,5,105,12,9.77,Частный,Подъем,0
АКБ “Премьер”,2005,4,13.77,6.5491293179213095,2.9,18.89,3,1,47.89,5.5,0.2,5,105,12,9.77,Частный,Подъем,0
АКБ “Премьер”,2006,1,10.71,-6.986160785351647,3.1,17.01,4,0.75,41.087,5.8,0.25,-2,100,13.43,-18.73,Частный,Подъем,0
АКБ “Премьер”,2006,2,11.18,9.927963694161468,3.3,17.01,4,0.75,41.087,5.8,0.25,-2,100,13.43,-18.73,Частный,Подъем,0
АКБ “Премьер”,2006,3,10.61,14.255131709102486,2.0,17.01,4,0.75,41.087,5.8,0.25,-2,100,13.43,-18.73,Частный,Подъем,0
АКБ “Премьер”,2006,4,9.77,2.810507874520507,4.1,17.01,4,0.75,41.087,5.8,0.25,-2,100,13.43,-18.73,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2003,1,14.29,-5.8068465623421055,7.3,33.7,3.39,0.32,529.8,14.78,0.0072,11.4,154.4,6.06,20.1,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2003,2,14.82,8.789155940807603,2.0,33.7,3.39,0.32,529.8,14.78,0.0072,11.4,154.4,6.06,20.1,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2003,3,14.78,16.07274248117121,4.0,33.7,3.39,0.32,529.8,14.78,0.0072,11.4,154.4,6.06,20.1,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2003,4,14.62,1.5274907758913159,5.2,33.7,3.39,0.32,529.8,14.78,0.0072,11.4,154.4,6.06,20.1,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2004,1,11.28,-3.818034610298593,1.1,30.5,2.2,1.1,278.7,14.2,0.05,24.845,178,7.58,28.98,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2004,2,10.58,12.969168812212374,5.2,30.5,2.2,1.1,278.7,14.2,0.05,24.845,178,7.58,28.98,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2004,3,10.25,15.671595592416775,3.8,30.5,2.2,1.1,278.7,14.2,0.05,24.845,178,7.58,28.98,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2004,4,10.22,7.659556893485675,1.1,30.5,2.2,1.1,278.7,14.2,0.05,24.845,178,7.58,28.98,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2005,1,12.7,-9.85249767610451,1.1,28,24.94,0.9,227,14.8,0.1,5,160,9,13.84,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2005,2,12.96,13.889074752811648,1.3,28,24.94,0.9,227,14.8,0.1,5,160,9,13.84,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2005,3,13.63,15.112037669839108,3.4,28,24.94,0.9,227,14.8,0.1,5,160,9,13.84,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2005,4,13.77,6.5491293179213095,2.9,28,24.94,0.9,227,14.8,0.1,5,160,9,13.84,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2006,1,10.71,-6.986160785351647,3.1,24,8,0.5,175.47,15.2,0.2,-8.96,128.72,12,-9.51,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2006,2,11.18,9.927963694161468,3.3,24,8,0.5,175.47,15.2,0.2,-8.96,128.72,12,-9.51,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2006,3,10.61,14.255131709102486,2.0,24,8,0.5,175.47,15.2,0.2,-8.96,128.72,12,-9.51,Частный,Подъем,0
АКБ “Русский Банкирский Дом”,2006,4,9.77,2.810507874520507,4.1,24,8,0.5,175.47,15.2,0.2,-8.96,128.72,12,-9.51,Частный,Подъем,0
Сбербанк России (ПАО),2003,1,14.29,-5.8068465623421055,7.3,12.1,5.16,1.6,32.6,28.1,2.9,15.1,73.3,3.16,10.9,Частный,Подъем,0
Сбербанк России (ПАО),2003,2,14.82,8.789155940807603,2.0,12.1,5.16,1.6,32.6,28.1,2.9,15.1,73.3,3.16,10.9,Частный,Подъем,0
Сбербанк России (ПАО),2003,3,14.78,16.07274248117121,4.0,12.1,5.16,1.6,32.6,28.1,2.9,15.1,73.3,3.16,10.9,Частный,Подъем,0
Сбербанк России (ПАО),2003,4,14.62,1.5274907758913159,5.2,12.1,5.16,1.6,32.6,28.1,2.9,15.1,73.3,3.16,10.9,Частный,Подъем,0
Сбербанк России (ПАО),2004,1,11.28,-3.818034610298593,1.1,12,4.73,1.62,28.26,27.01,3.67,18.2,80.79,2.22,11.51,Частный,Подъем,0
Сбербанк России (ПАО),2004,2,10.58,12.969168812212374,5.2,12,4.73,1.62,28.26,27.01,3.67,18.2,80.79,2.22,11.51,Частный,Подъем,0
Сбербанк России (ПАО),2004,3,10.25,15.671595592416775,3.8,12,4.73,1.62,28.26,27.01,3.67,18.2,80.79,2.22,11.51,Частный,Подъем,0
Сбербанк России (ПАО),2004,4,10.22,7.659556893485675,1.1,12,4.73,1.62,28.26,27.01,3.67,18.2,80.79,2.22,11.51,Частный,Подъем,0
Сбербанк России (ПАО),2005,1,12.7,-9.85249767610451,1.1,11.85,4.31,1.63,23.92,25.92,4.44,21.3,88.28,3.28,12.12,Частный,Подъем,0
Сбербанк России (ПАО),2005,2,12.96,13.889074752811648,1.3,11.85,4.31,1.63,23.92,25.92,4.44,21.3,88.28,3.28,12.12,Частный,Подъем,0
Сбербанк России (ПАО),2005,3,13.63,15.112037669839108,3.4,11.85,4.31,1.63,23.92,25.92,4.44,21.3,88.28,3.28,12.12,Частный,Подъем,0
Сбербанк России (ПАО),2005,4,13.77,6.5491293179213095,2.9,11.85,4.31,1.63,23.92,25.92,4.44,21.3,88.28,3.28,12.12,Частный,Подъем,0
Сбербанк России (ПАО),2006,1,10.71,-6.986160785351647,3.1,11.7,3.88,1.64,19.58,24.83,5.21,24.4,95.77,3.34,12.73,Частный,Подъем,0
Сбербанк России (ПАО),2006,2,11.18,9.927963694161468,3.3,11.7,3.88,1.64,19.58,24.83,5.21,24.4,95.77,3.34,12.73,Частный,Подъем,0
Сбербанк России (ПАО),2006,3,10.61,14.255131709102486,2.0,11.7,3.88,1.64,19.58,24.83,5.21,24.4,95.77,3.34,12.73,Частный,Подъем,0
Сбербанк России (ПАО),2006,4,9.77,2.810507874520507,4.1,11.7,3.88,1.64,19.58,24.83,5.21,24.4,95.77,3.34,12.73,Частный,Подъем,0
Сбербанк России (ПАО),2010,1,8.02,-7.587210266715094,4.0,12.1,4,1.55,8.3,23.05,10,25,101,10.5,30,Частный,Подъем,0
Сбербанк России (ПАО),2010,2,7.18,9.816934109093722,3.3,12.1,4,1.55,8.3,23.05,10,25,101,10.5,30,Частный,Подъем,0
Сбербанк России (ПАО),2010,3,6.46,10.106815471632459,2.6,12.1,4,1.55,8.3,23.05,10,25,101,10.5,30,Частный,Подъем,0
Сбербанк России (ПАО),2010,4,6.04,9.62084325590855,2.7,12.1,4,1.55,8.3,23.05,10,25,101,10.5,30,Частный,Подъем,0
Сбербанк России (ПАО),2011,1,9.56,-9.77451548014976,2.7,12.48,2.75,1.76,8.18,23.07,11.58,34.03,97.29,11.43,78.5,Частный,Подъем,0
Сбербанк России (ПАО),2011,2,9.47,11.896606185755477,3.2,12.48,2.75,1.76,8.18,23.07,11.58,34.03,97.29,11.43,78.5,Частный,Подъем,0
Сбербанк России (ПАО),2011,3,9.46,10.141407541590098,3.8,12.48,2.75,1.76,8.18,23.07,11.58,34.03,97.29,11.43,78.5,Частный,Подъем,0
Сбербанк России (ПАО),2011,4,9.61,7.946523760183055,4.9,12.48,2.75,1.76,8.18,23.07,11.58,34.03,97.29,11.43,78.5,Частный,Подъем,0
Банк ВТБ (ПАО),2003,1,14.29,-5.8068465623421055,7.3,23,2.6164,1.7336,27.2331,19.3821,0.3269,-24.25,176.9727,6.5754,30.0745,Частный,Подъем,0
Банк ВТБ (ПАО),2003,2,14.82,8.789155940807603,2.0,23,2.6164,1.7336,27.2331,19.3821,0.3269,-24.25,176.9727,6.5754,30.0745,Частный,Подъем,0
Банк ВТБ (ПАО),2003,3,14.78,16.07274248117121,4.0,23,2.6164,1.7336,27.2331,19.3821,0.3269,-24.25,176.9727,6.5754,30.0745,Частный,Подъем,0
Банк ВТБ (ПАО),2003,4,14.62,1.5274907758913159,5.2,23,2.6164,1.7336,27.2331,19.3821,0.3269,-24.25,176.9727,6.5754,30.0745,Частный,Подъем,0
Банк ВТБ (ПАО),2004,1,11.28,-3.818034610298593,1.1,22.05,2.55,1.7,45.37,19.85,5.12,-10.23,200.12,10.15,40.05,Частный,Подъем,0
Банк ВТБ (ПАО),2004,2,10.58,12.969168812212374,5.2,22.05,2.55,1.7,45.37,19.85,5.12,-10.23,200.12,10.15,40.05,Частный,Подъем,0
Банк ВТБ (ПАО),2004,3,10.25,15.671595592416775,3.8,22.05,2.55,1.7,45.37,19.85,5.12,-10.23,200.12,10.15,40.05,Частный,Подъем,0
Банк ВТБ (ПАО),2004,4,10.22,7.659556893485675,1.1,22.05,2.55,1.7,45.37,19.85,5.12,-10.23,200.12,10.15,40.05,Частный,Подъем,0
Банк ВТБ (ПАО),2005,1,12.7,-9.85249767610451,1.1,20.98,2.48,1.68,80.45,20.5,8.34,12.12,220.34,15.22,45.2,Частный,Подъем,0
Банк ВТБ (ПАО),2005,2,12.96,13.889074752811648,1.3,20.98,2.48,1.68,80.45,20.5,8.34,12.12,220.34,15.22,45.2,Частный,Подъем,0
Банк ВТБ (ПАО),2005,3,13.63,15.112037669839108,3.4,20.98,2.48,1.68,80.45,20.5,8.34,12.12,220.34,15.22,45.2,Частный,Подъем,0
Банк ВТБ (ПАО),2005,4,13.77,6.5491293179213095,2.9,20.98,2.48,1.68,80.45,20.5,8.34,12.12,220.34,15.22,45.2,Частный,Подъем,0
Банк ВТБ (ПАО),2006,1,10.71,-6.986160785351647,3.1,19.45,2.38,1.65,110.55,21.2,12.48,32.45,230.67,20.38,50.75,Частный,Подъем,0
Банк ВТБ (ПАО),2006,2,11.18,9.927963694161468,3.3,19.45,2.38,1.65,110.55,21.2,12.48,32.45,230.67,20.38,50.75,Частный,Подъем,0
Банк ВТБ (ПАО),2006,3,10.61,14.255131709102486,2.0,19.45,2.38,1.65,110.55,21.2,12.48,32.45,230.67,20.38,50.75,Частный,Подъем,0
